Station_Id_C Year_Data Mon_Data Day_Data Hour_Data TEM PRE_1h
45007 2017 10 17 3 15.8000 999999.0000 
45007 2017 10 17 3 26.0000 999999.0000 
45007 2017 10 17 4 15.8000 999999.0000 
45007 2017 10 17 5 15.8000 999999.0000 
45007 2017 10 17 6 27.5000 999999.0000 
45007 2017 10 17 6 15.8000 999999.0000 
45007 2017 10 17 7 15.7000 999999.0000 
45007 2017 10 17 8 15.4000 999999.0000 
45007 2017 10 17 9 28.0000 999999.0000 
45007 2017 10 17 9 15.3000 999999.0000 
45007 2017 10 17 10 15.5000 999999.0000 
45007 2017 10 17 11 15.4000 999999.0000 
45007 2017 10 17 12 26.1000 999999.0000 
45007 2017 10 17 12 15.4000 999999.0000 
45007 2017 10 17 13 15.4000 999999.0000 
45007 2017 10 17 14 15.2000 999999.0000 
45007 2017 10 17 15 14.8000 999999.0000 
45007 2017 10 17 15 25.9000 999999.0000 
45007 2017 10 17 16 15.0000 999999.0000 
45007 2017 10 17 17 15.6000 999999.0000 
45007 2017 10 17 18 24.9000 999999.0000 
45007 2017 10 17 18 16.2000 999999.0000 
45007 2017 10 17 19 16.7000 999999.0000 
45007 2017 10 17 20 17.2000 999999.0000 
45007 2017 10 17 21 24.4000 999999.0000 
45007 2017 10 17 21 17.6000 999999.0000 
45007 2017 10 17 22 17.5000 999999.0000 
45007 2017 10 17 23 17.6000 999999.0000 
45007 2017 10 18 0 24.5000 999999.0000 
45007 2017 10 18 0 17.5000 999999.0000 
45007 2017 10 18 1 17.3000 999999.0000 
45007 2017 10 18 2 17.6000 999999.0000 
45007 2017 10 18 3 27.9000 999999.0000 
45007 2017 10 18 3 17.4000 999999.0000 
45007 2017 10 18 4 17.0000 999999.0000 
45007 2017 10 18 5 16.7000 999999.0000 
45007 2017 10 18 6 29.2000 999999.0000 
45007 2017 10 18 6 16.5000 999999.0000 
45007 2017 10 18 7 16.2000 999999.0000 
45007 2017 10 18 8 15.8000 999999.0000 
45007 2017 10 18 9 29.4000 999999.0000 
45007 2017 10 18 9 15.7000 999999.0000 
45007 2017 10 18 10 15.6000 999999.0000 
45007 2017 10 18 11 15.4000 999999.0000 
45007 2017 10 18 12 27.4000 999999.0000 
45007 2017 10 18 12 15.3000 999999.0000 
45007 2017 10 18 13 15.0000 999999.0000 
45007 2017 10 18 14 14.8000 999999.0000 
45007 2017 10 18 15 26.8000 999999.0000 
45007 2017 10 18 15 14.8000 999999.0000 
45007 2017 10 18 16 15.0000 999999.0000 
45007 2017 10 18 17 15.1000 999999.0000 
45007 2017 10 18 18 25.8000 999999.0000 
45007 2017 10 18 18 15.5000 999999.0000 
45007 2017 10 18 19 16.1000 999999.0000 
45007 2017 10 18 20 16.7000 999999.0000 
45007 2017 10 18 21 17.1000 999999.0000 
45007 2017 10 18 21 24.9000 999999.0000 
